step,reward,actual_inspection_rate,target_sampling_rate,attack_intensity,fpr,fnr,avg_sq,tp,tn,fp,fn
230,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
231,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
232,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
233,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
234,-2.0,1.0,1.0,0.004,0.0,0.0,94.484,4,996,0,0
235,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
236,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
237,-2.0,1.0,1.0,0.016,0.0,0.0,125.936,16,984,0,0
238,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
239,-2.0,1.0,1.0,0.015,0.0,0.0,123.315,15,985,0,0
240,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
241,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
242,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
243,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
244,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
245,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
246,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
247,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
248,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
249,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
250,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
251,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
252,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
253,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
254,-2.0,1.0,1.0,0.005,0.0,0.0,97.105,5,995,0,0
255,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
256,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
257,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
258,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
259,-2.0,1.0,1.0,0.017,0.0,0.0,128.557,17,983,0,0
260,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
261,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
262,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
263,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
264,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
265,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
266,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
267,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
268,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
269,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
270,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
271,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
272,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
273,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
274,-2.0,1.0,1.0,0.015,0.0,0.0,123.315,15,985,0,0
275,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
276,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
277,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
278,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
279,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
280,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
281,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
282,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
283,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
284,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
285,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
286,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
287,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
288,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
289,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
290,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
291,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
292,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
293,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
294,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
295,-2.0,1.0,1.0,0.005,0.0,0.0,97.105,5,995,0,0
296,-2.0,1.0,1.0,0.016,0.0,0.0,125.936,16,984,0,0
297,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
298,-2.0,1.0,1.0,0.005,0.0,0.0,97.105,5,995,0,0
299,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
300,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
301,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
302,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
303,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
304,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
305,-2.0,1.0,1.0,0.005,0.0,0.0,97.105,5,995,0,0
306,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
307,-2.0,1.0,1.0,0.017,0.0,0.0,128.557,17,983,0,0
308,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
309,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
310,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
311,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
312,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
313,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
314,-2.0,1.0,1.0,0.016,0.0,0.0,125.936,16,984,0,0
315,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
316,-2.0,1.0,1.0,0.004,0.0,0.0,94.484,4,996,0,0
317,-2.0,0.999,1.0,0.008,0.0,0.0,104.884,8,992,0,0
318,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
319,-2.0,1.0,1.0,0.004,0.0,0.0,94.484,4,996,0,0
320,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
321,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
322,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
323,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
324,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
