packet_id,is_malware,was_dropped,latency_ns
664,0,0,17796
665,0,0,17483
666,0,0,17924
667,0,0,19056
668,0,0,16516
669,0,0,16647
670,0,0,16936
671,0,0,16285
672,0,0,16769
673,0,0,16620
674,0,0,17079
675,0,0,16761
676,0,0,16785
677,0,0,16662
678,0,0,16609
679,0,0,16219
680,0,0,16793
681,0,0,20189
682,0,0,16382
683,0,0,16422
684,0,0,16401
685,0,0,16850
686,0,0,16305
687,0,0,16209
688,0,0,16425
689,0,0,16315
690,0,0,16190
691,0,0,16438
692,0,0,16042
693,0,0,16482
694,0,0,16608
695,0,0,16358
696,0,0,16293
697,0,0,17311
698,0,0,16127
699,0,0,16617
700,0,0,16672
701,0,0,16364
702,0,0,16760
703,0,0,16258
704,0,0,16491
705,0,0,17308
706,0,0,18069
707,0,0,17615
708,0,0,17613
709,0,0,17754
710,0,0,17388
711,0,0,17947
712,0,0,17595
713,0,0,17575
714,0,0,17384
715,0,0,17633
716,0,0,17378
717,0,0,17647
718,0,0,17656
719,0,0,17948
720,0,0,17487
721,0,0,17398
722,0,0,19107
723,0,0,23469
724,0,0,23351
725,0,0,21957
726,0,0,124440
727,0,0,47955
728,0,0,32833
729,0,0,31050
730,0,0,29391
731,0,0,29566
732,0,0,28703
733,0,0,29074
734,0,0,30134
735,0,0,29458
736,0,0,28393
737,0,0,27022
738,0,0,27373
739,0,0,28002
740,0,0,29463
741,0,0,29502
742,0,0,29580
743,0,0,31003
744,0,0,31552
745,0,0,31143
746,0,0,31757
747,0,0,29381
748,0,0,30652
749,0,0,31783
750,0,0,33300
751,0,0,35425
752,0,0,35959
753,0,0,34810
754,0,0,35452
755,0,0,35444
756,0,0,32944
757,0,0,33325
758,0,0,32913
759,0,0,32718
760,0,0,31672
761,0,0,30962
762,0,0,30298
763,0,0,30349
764,0,0,90426
765,0,0,59687
766,0,0,22150
767,0,0,19055
768,0,0,18540
769,0,0,18231
770,0,0,17736
771,0,0,18597
772,0,0,16184
773,0,0,16062
774,0,0,16348
775,0,0,16887
776,0,0,16882
777,0,0,16505
778,0,0,16320
779,0,0,16361
780,0,0,17661
781,0,0,16441
782,0,0,16155
783,0,0,16530
784,0,0,16378
785,0,0,16460
786,0,0,16410
787,0,0,16533
788,0,0,16750
789,0,0,16582
790,0,0,16159
791,0,0,15960
792,0,0,16425
793,0,0,17754
794,0,0,17614
795,0,0,17645
796,0,0,18025
797,0,0,17932
798,0,0,17944
799,0,0,18100
800,0,0,18379
801,0,0,14712
802,0,0,15203
803,0,0,16409
804,0,0,16395
805,0,0,14660
806,0,0,14880
807,0,0,22993
808,0,0,15329
809,0,0,16841
810,0,0,15142
811,0,0,15248
812,0,0,16819
813,0,0,16684
814,0,0,16337
815,0,0,15161
816,0,0,14929
817,0,0,15283
818,0,0,15089
819,0,0,15276
820,0,0,14633
821,0,0,14619
822,0,0,16440
823,0,0,17399
824,0,0,15177
825,0,0,14623
826,0,0,19260
827,0,0,31987
828,0,0,17699
829,0,0,16075
830,0,0,17835
831,0,0,18164
832,0,0,18542
833,0,0,18417
834,0,0,17163
835,0,0,15051
836,0,0,15127
837,0,0,17413
838,0,0,15765
839,0,0,16899
840,0,0,15513
841,0,0,15928
842,0,0,17138
843,0,0,17760
844,0,0,15452
845,0,0,15905
846,0,0,16105
847,0,0,17106
848,0,0,17525
849,0,0,15706
850,0,0,17008
851,0,0,15710
852,0,0,17184
853,0,0,32702
854,0,0,20259
855,0,0,19091
856,0,0,15627
857,0,0,17404
858,0,0,17902
859,0,0,15874
860,0,0,15057
861,0,0,15383
862,0,0,17683
863,0,0,17725
864,0,0,18081
865,0,0,17476
866,0,0,15976
867,0,0,18816
868,0,0,15839
869,0,0,16948
870,0,0,17380
871,0,0,15311
872,0,0,16722
