packet_id,is_malware,was_dropped,latency_ns
390,1,1,2073
391,1,1,1304
392,1,1,1312
393,1,1,1483
394,1,1,1152
395,1,1,1117
396,1,1,1347
397,1,1,1168
398,1,1,1214
399,1,1,1403
400,1,1,1715
401,1,1,1219
402,1,1,1293
403,1,1,1173
404,1,1,1247
405,1,1,1881
406,1,1,1270
407,1,1,1339
408,1,1,1267
409,1,1,1844
410,1,1,1379
411,1,1,1111
412,1,1,1093
413,1,1,1205
414,1,1,1504
415,1,1,1328
416,1,1,1083
417,1,1,1407
418,1,1,1325
419,1,1,1257
420,1,1,1204
421,1,1,1128
422,1,1,1270
423,1,1,1197
424,1,1,1449
425,1,1,1143
426,1,1,1214
427,1,1,1240
428,1,1,1297
429,1,1,1186
430,1,1,1308
431,1,1,1276
432,1,1,1115
433,1,1,1227
434,1,1,1168
435,1,1,1275
436,1,1,1326
437,1,1,1226
438,1,1,1099
439,1,1,1254
440,1,1,1262
441,1,1,1374
442,1,1,1316
443,1,1,1147
444,1,1,1137
445,1,1,1298
446,1,1,1195
447,1,1,1100
448,1,1,1309
449,1,1,1320
450,1,1,1446
451,1,1,1352
452,1,1,1173
453,1,1,1164
454,1,1,1431
455,1,1,1270
456,1,1,1234
457,1,1,1106
458,1,1,1225
459,1,1,1419
460,1,1,1256
461,1,1,1141
462,1,1,1260
463,1,1,1191
464,1,1,1091
465,1,1,1342
466,1,1,1174
467,1,1,1136
468,1,1,1386
469,1,1,1147
470,1,1,1158
471,1,1,1265
472,1,1,1092
473,1,1,1489
474,1,1,1326
475,1,1,1180
476,1,1,1227
477,1,1,1279
478,1,1,1170
479,1,1,1414
480,1,1,1212
481,1,1,1230
482,1,1,1401
483,1,1,1105
484,1,1,1180
485,1,1,1280
486,1,1,1265
487,1,1,1178
488,1,1,1212
489,1,1,1218
490,1,1,1175
491,1,1,1374
492,1,1,1294
493,1,1,1087
494,1,1,1185
495,1,1,1108
496,1,1,1162
497,1,1,1193
498,1,1,1097
499,1,1,1109
500,1,1,11199
501,1,1,1463
502,1,1,1280
503,1,1,1409
504,1,1,1201
505,1,1,1251
506,1,1,1149
507,1,1,1186
508,1,1,1121
509,1,1,1464
510,1,1,1251
511,1,1,1219
512,1,1,2826
513,1,1,1577
514,1,1,1433
515,1,1,1146
516,1,1,1182
517,1,1,1201
518,1,1,1146
519,1,1,1168
520,1,1,1173
521,1,1,1199
522,1,1,1226
523,1,1,1332
524,1,1,1162
525,1,1,1226
526,1,1,1160
527,1,1,1127
528,1,1,1339
529,1,1,1691
530,1,1,1214
531,1,1,1240
532,1,1,1229
533,1,1,1123
534,1,1,1219
535,1,1,1284
536,1,1,1164
537,1,1,1321
538,1,1,1173
539,1,1,1291
540,1,1,1453
541,1,1,1538
542,1,1,1329
543,1,1,1221
544,1,1,1379
545,1,1,1564
546,1,1,1231
547,1,1,1250
548,1,1,1148
549,1,1,1236
550,1,1,1486
551,1,1,1209
552,1,1,1167
553,1,1,1151
554,1,1,1208
555,1,1,1125
556,1,1,1230
557,1,1,1255
558,1,1,1195
559,1,1,1346
560,1,1,1194
561,1,1,1323
562,1,1,1167
563,1,1,1298
564,1,1,1181
565,1,1,1163
566,1,1,1421
567,1,1,1144
568,1,1,1360
569,1,1,1227
570,1,1,1290
571,1,1,1225
572,1,1,1103
573,1,1,1238
574,1,1,1204
575,1,1,1238
576,1,1,1375
577,1,1,1227
578,1,1,1097
579,1,1,1117
580,1,1,1191
581,1,1,1155
582,1,1,1245
583,1,1,1140
584,1,1,1189
585,1,1,1122
586,1,1,1190
587,1,1,1867
588,1,1,1181
589,1,1,1455
590,1,1,1313
591,1,1,1302
592,1,1,1168
593,1,1,1111
594,1,1,1136
595,1,1,1274
596,1,1,1182
597,1,1,1338
598,1,1,1114
599,1,1,1254
600,1,1,1202
601,1,1,1271
602,1,1,1409
603,1,1,1220
604,1,1,1142
605,1,1,1130
606,1,1,1151
607,1,1,1550
608,1,1,1195
609,1,1,1125
610,1,1,1127
611,1,1,1236
612,1,1,1404
613,1,1,1157
614,1,1,1111
615,1,1,1168
616,1,1,1140
617,1,1,1262
618,1,1,1166
619,1,1,1211
620,1,1,1213
621,1,1,1201
622,1,1,1146
623,1,1,1350
624,1,1,1458
625,1,1,1142
626,1,1,1342
627,1,1,1163
628,1,1,1216
629,1,1,1386
630,1,1,1256
631,1,1,1105
632,1,1,1150
633,1,1,1274
634,1,1,1264
635,1,1,1292
636,1,1,1214
637,1,1,1180
638,1,1,1225
639,1,1,1412
640,1,1,1198
641,1,1,1104
642,1,1,1162
643,1,1,1270
644,1,1,1336
645,1,1,1275
646,1,1,1283
647,1,1,1108
648,1,1,1136
649,1,1,1149
650,1,1,1226
651,1,1,1198
652,1,1,1213
653,1,1,1615
654,1,1,1294
655,1,1,1250
656,1,1,1110
657,1,1,1105
658,1,1,1163
659,1,1,1177
660,1,1,1553
661,1,1,1140
662,1,1,1447
663,1,1,1163
664,1,1,1203
665,1,1,1338
666,1,1,1115
667,1,1,1158
668,1,1,1130
669,1,1,1241
