packet_id,is_malware,latency_ns
1220,1,163292
1221,0,16019
1222,0,15904
1223,0,15744
1224,0,15553
1225,0,15824
1226,0,16257
1227,0,15941
1228,0,15894
1229,0,15762
1230,0,15347
1231,0,15530
1232,0,15715
1233,0,15442
1234,0,15552
1235,0,15441
1236,0,15461
1237,0,15802
1238,0,15675
1239,0,16367
1240,1,238060
1241,0,24082
1242,0,16579
1243,0,16191
1244,0,16439
1245,0,62829
1246,0,17344
1247,0,71855
1248,0,20416
1249,0,17254
1250,0,28768
1251,0,18020
1252,0,17206
1253,0,16339
1254,0,15805
1255,0,15690
1256,0,16267
1257,0,15955
1258,0,16318
1259,0,16345
1260,1,164997
1261,0,16906
1262,0,16397
1263,0,15856
1264,0,15904
1265,0,15950
1266,0,15423
1267,0,15651
1268,0,15559
1269,0,16144
1270,0,15821
1271,0,15884
1272,0,16710
1273,0,16096
1274,0,15968
1275,0,15831
1276,0,15870
1277,0,15860
1278,0,15833
1279,0,15764
1280,1,178125
1281,0,20255
1282,0,16574
1283,0,15868
1284,0,16210
1285,0,15029
1286,0,14810
1287,0,14734
1288,0,14745
1289,0,14975
1290,0,14700
1291,0,14762
1292,0,14769
1293,0,14750
1294,0,14946
1295,0,15023
1296,0,14945
1297,0,15741
1298,0,14521
1299,0,14593
1300,1,150803
1301,0,15166
1302,0,15621
1303,0,14229
1304,0,16481
1305,0,15912
1306,0,21749
1307,0,19835
1308,0,17345
1309,0,15611
1310,0,14961
1311,0,14782
1312,0,14840
1313,0,14792
1314,0,14971
1315,0,14591
1316,0,14507
1317,0,15320
1318,0,14976
1319,0,14861
1320,1,165408
1321,0,19122
1322,0,15414
1323,0,15136
1324,0,14599
1325,0,14631
1326,0,15100
1327,0,14893
1328,0,15220
1329,0,15363
1330,0,14657
1331,0,14533
1332,0,15137
1333,0,15018
1334,0,14896
1335,0,21691
1336,0,16625
1337,0,16212
1338,0,22581
1339,0,18575
1340,1,168005
1341,0,16226
1342,0,16513
1343,0,16081
1344,0,15934
1345,0,15957
1346,0,14547
1347,0,14859
1348,0,14802
1349,0,14535
1350,0,14898
1351,0,14774
1352,0,14859
1353,0,14715
1354,0,15074
1355,0,14750
1356,0,14673
1357,0,14904
1358,0,14451
1359,0,14799
1360,1,160540
1361,0,18421
